Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	Fstat nuisance Motion partial model	Fstat nuisance CSF partial model	pval nuisance model	pval nuisance Motion partial model	pval nuisance CSF partial model	R2stat nuisance model	R2stat nuisance Motion partial model	R2stat nuisance CSF partial model	Fstat task model	pval task model	R2stat task model	Var Exp of rejected to accepted	classification	classification_tags
ICA_21	85.49294012152588	15.249517442546917	0.47290900610736947	0.005116342089372506	4983	3953	0.7705050505050505	0.6466476831478126	20.035131609340695	2.6217136242497253e-76	1	5.301119469932981	4.858095850206192	1.087759645812635	2.3089445466695224e-08	1.1205882500808784e-06	0.3563897740659303	0.3573518713656737	0.2896074293343758	0.02231099262333458	5.693755409279635	0.018216477516933338	0.03499676674716967	30.855225423431833	accepted	Likely BOLD
ICA_22	65.59102432369421	15.131097425760396	0.2622576796174014	0.004741434402260116	5008	3256	0.748351195383347	0.6405581100364675	17.03817551273497	3.1389711350326398e-58	1	1.4469728756321347	1.5230557628004173	2.1327468097002176	0.1334716977233592	0.12221139025777739	0.09871224771799958	0.13177891837394073	0.11332494185006836	0.04282674555418908	5.339722404757206	0.022146020996857807	0.03289227260992733	n/a	rejected	Unlikely BOLD
ICA_23	48.4306438956188	15.339546392657097	0.29537527683547704	0.005555216945117915	5066	3345	0.7243809140326153	0.5739494541647974	14.482222524213288	1.8851784994591354e-43	1	3.497121511305915	2.7338965139392366	2.3157805165453	4.1949099021665326e-05	0.002312509548683339	0.0782962245420552	0.26838061702386673	0.1866069229037085	0.046331875429323155	5.9060809026287755	0.01621577358140136	0.036254514686648975	n/a	rejected	Unlikely BOLD
ICA_24	31.874660349027756	26.11115533699977	1.1943962881116013	0.015187865272963173	4330	3866	0.5458812485332082	0.4458055925432756	4.349481912820519	1.485952457793259e-05	1	19.47423869623838	14.759865283925823	58.41451804742777	1.1102230246251565e-16	1.1102230246251565e-16	1.1102230246251565e-16	0.6713501797525627	0.5532902594408642	0.5506586130694536	1.6335004416834762	0.20310594640968038	0.010297323308981476	n/a	rejected	Unlikely BOLD,External regressors
ICA_25	32.828095810076675	13.61198433599534	0.29567308240384815	0.004541509726266869	4151	2739	0.6494884425918909	0.46858398974171095	8.543926764104345	8.993616092667338e-17	1	7.046300854357831	4.237203217682334	2.2232570391626396	2.3992030584452095e-11	1.0410055833021126e-05	0.08803857598124143	0.42499736571926616	0.26230267100192706	0.04456324792701305	1.035893265044418	0.31034436932102005	0.006554797417489877	n/a	rejected	Unlikely BOLD
ICA_26	23.398528619442285	15.510926716414279	0.1659758027786157	0.0025532228396646403	3017	1947	0.5653673680579511	0.38799793067770305	1.9591448427357936	0.0620220883044162	1	2.0159672950451077	0.9947053919761492	1.676669124360306	0.017853107549169245	0.45703696452974163	0.17469396919288116	0.17455319243241108	0.07704102921503975	0.03397964684554644	0.4841861086019962	0.48756102828019243	0.0030745062127577327	n/a	rejected	Unlikely BOLD
ICA_27	39.81392546650398	18.281632564296725	62.1960089664157	0.5979397319347298	6936	3927	0.5773933790635252	0.25116651113184907	0.0	0.0	1	263.01335042115664	90.18299939638746	20.200651710881846	1.1102230246251565e-16	1.1102230246251565e-16	5.678701953115706e-11	0.9650212829523145	0.883283979995515	0.29764918069261026	1.487203122134245	0.2244798183144443	0.00938374261667152	n/a	rejected	Unlikely BOLD,External regressors
ICA_28	89.93740947095586	16.17090409671244	0.6677651132583332	0.00949415945131225	5340	3917	0.7607989766801141	0.6578214143558445	18.796568271729182	2.0920941434346347e-67	1	4.922721398201908	4.087501351868739	5.208924355997724	1.0855845766766237e-07	1.7869231149103548e-05	0.0019205768126407952	0.3405300747418457	0.2554023018962781	0.09851283466060912	0.17642520721384045	0.6750377973441961	0.0011224660885450488	30.139644448397153	accepted	Likely BOLD
ICA_29	21.358404735359393	21.390238166890384	0.3113330983321995	0.005221309034263116	3115	3345	0.5407490757113005	0.5169202111145607	-1.5151893856587104	0.13034576627026392	1	2.801870529360046	1.471012587498985	5.186777256975224	0.0007689442839187155	0.14163320773126786	0.001975630938344408	0.22714424184216608	0.10987808712561375	0.09813508585114405	0.035520264186530065	0.8507530299553896	0.00022619254628997165	n/a	rejected	Unlikely BOLD
ICA_30	149.3886805620967	19.38747961967623	2.0273086952451442	0.020766231793140928	7471	5770	0.8066507646976288	0.7075504523312457	6.4196485274866495	2.323227819828121e-10	1	11.385470298893258	11.616310026137095	8.180451069288102	1.1102230246251565e-16	4.440892098500626e-16	4.60338385634973e-05	0.544269667570917	0.4936183882631937	0.14647937800416633	0.5108908805787706	0.4758149168451501	0.0032435273378405016	n/a	rejected	Unlikely BOLD,Likely BOLD,External regressors
ICA_31	69.57861466878956	18.591109799688056	0.41761010623635497	0.006432318613933997	5633	4507	0.7353677766440961	0.6486304445442299	16.000428889353568	4.4791210762271285e-52	1	2.6836100123340394	3.225122401486714	0.42486226504623825	0.0012520458800409084	0.00040197918388884535	0.7354683517091998	0.21966296612857394	0.2129948044428831	0.008834451190967929	9.156283888924259	0.002897252601322786	0.055106455648979535	n/a	rejected	Unlikely BOLD
ICA_32	103.4197523863181	17.040014661184596	0.5377295031118644	0.007659007476438325	6419	4859	0.8138528138528138	0.6922255446390432	10.56879531355383	8.739305846371952e-25	1	1.541451453224387	0.8314868200335547	3.854321876303167	0.09809605997575344	0.6179068668476584	0.010902718070266881	0.13918568016737987	0.06522409860385037	0.07481071278530615	0.4717789554215296	0.49318317820499613	0.0029959587587760073	23.504302762161355	accepted	Likely BOLD
ICA_33	102.431737932572	16.357041867718294	0.6762667832519105	0.009212596155051643	5716	4279	0.7728801236026538	0.6473235433443866	18.956584399502816	5.132936222178129e-70	1	4.038426886644799	4.137708062219239	2.5435886668460532	4.302319818738631e-06	1.4906389168123368e-05	0.05859675378382512	0.29756102533406725	0.25773087598201183	0.05065874789822744	1.3995311431692332	0.238590423352817	0.008835450036176362	35.82052387572816	accepted	Likely BOLD
ICA_34	80.44060757361098	16.297813259778863	0.5933764147849467	0.007416792963888882	5528	4153	0.7651177593889242	0.6594928880643166	16.366735638771907	7.564489437445348e-55	1	5.120654588664053	5.459825403498551	4.629539430456832	4.8196294955005214e-08	1.3282521682533854e-07	0.004029390584127213	0.3494376149291988	0.3142075731656371	0.08852534009558821	13.961740448867959	0.0002607441056421411	0.08166587689275251	22.144270892959895	accepted	Likely BOLD
ICA_35	107.03153595562898	18.819790299568204	1.6759829291122126	0.01712546175926921	6562	5284	0.8081821690467001	0.7057907542579075	11.409240711790122	1.1115564412464697e-27	1	4.141943483528475	4.22189486399916	2.965604967072949	2.7868980505552088e-06	1.100100977469154e-05	0.03415529698903086	0.30287821877370713	0.2616029226630199	0.05857143816349675	2.711942792400563	0.10159980562656767	0.016980212906968717	25.598064552759748	accepted	Likely BOLD
ICA_36	38.67183423877512	12.927808738334154	0.40530720738981796	0.005683732771903294	4930	3356	0.7268576172685761	0.5765252585819217	13.277709538588777	3.650403275944598e-35	1	6.107821427399879	5.640609065471013	5.985286993336243	9.105076692605962e-10	7.04488227754041e-08	0.0007157616494957164	0.39049683484581554	0.3212690369238874	0.11155767097067004	3.520910881338834	0.0624550510312466	0.02193428172072598	n/a	rejected	Unlikely BOLD
ICA_37	21.40791642766486	14.704514966026757	0.18155400436894903	0.0030609611855323933	4041	2606	0.652352789920288	0.5267249757045676	5.321823752152322	2.518378696461396e-07	1	3.8154637055679754	3.8937742718457353	1.2095415514556844	1.0982672626114187e-05	3.5986849901359363e-05	0.30854589612981265	0.28582828058954535	0.24627866401631804	0.024747041465610464	0.15377653435556404	0.6954839935316754	0.0009785099521419927	n/a	rejected	Unlikely BOLD
ICA_38	21.00193359959422	13.17503416194932	0.21449338314445832	0.004380318915188297	3500	2693	0.6635798003183331	0.5103812759531898	7.96702071516508	5.607743414857929e-15	1	4.655808184178795	3.020849132678489	1.083952140579746	3.269369617253659e-07	0.0008355574244888198	0.35798667275871754	0.3281247268154055	0.20223236401938527	0.022234633469280674	4.451076768313654	0.03646500684300347	0.027569198406159012	n/a	rejected	Unlikely BOLD
